"Ред.бр","Уп.Бр","Вид на лиценца","Назив на правното лице и седиште / датум на важност на лиценцата","Назив на угостителски објект","Адреса на седиште на угпстителскипт објект","година"
"1","УП1 13-2
05.01.2017","кабаре","ДТУ ВЕНЕ КЛУ ДООЕЛ ШТИП со седиште на ул.Битолска бр.Штип  Лиценцата
е издадена на 16.02.2017 год со УП 13-3","АНДЕРГРАУНД","Ул.Генерал Михајло Апостолски бб Штип","2017"
"2","УП1 13-3
09.01.2017","кабаре","ДТУ ЛЕ КЛУБ 43 ДООЕЛ Скопје со седиште на ул.Андон Дуков бр.43
Скопје.Лиценцата е издаена на 16.01.2017 год со УП13-3","ЛЕ КЛУБ 43","Ул. Андон Дуков бр.43 Скопје","2017"
"3","ФП1 13-4
09.01.2017","Диско клуб","ДОСИ СКОПСКИ САЕМ ДОО СКОПЈЕ со седиште на ул.Беласица бр.2 Гази
Баба Скопје . Лиценцата е издадена на 15.02.2017 со ФП1 13-4","МЕТРОПОЛИС АРЕНА","Фл.Беласица бр.Скопје","2017"
"4","УП1 13-5
12.01.2017","кабаре","ДТУ ДАЈМОНД ЕКСКЛУЗИВ ДООЕЛ Рдовиш со седиште на ул.Свети Спасо
Радовишки бр.1 Радовиш. Лиценцата е издадена на 15.02.2017 година со","ДАЈМОНД","ул.Свети Спасо Радовишки бр.1 Радовиш","2017"
"5","УП113-6
13.01.2017","кабаре","ДТУ МБМК2 ГРОУП ДОО Скопје со седиште на ул.Булевар Св.Климент
Охридски бр.60А Скопје.Лиценцата е издадена на 14.02.2017","ЕПИЦЕНТАР","ул.Булевар Св.Климент Охридски бр.60А Скопје","2017"
"6","УП1 13-28
24.01.2017","кабаре","ДУТУ ЧЕЗ И БЛУЗ КАБАРЕ ДАК ДООЕЛ Охрид со седиште на ул.Кеј
Македонија бр.1 Охрид.Лиценцата е издадена на 15.02.2017 година со","ДАК","ул.Кеј Македонија бр.1 Охрид","2017"
"7","УП13-78
07.02.2017","кабаре","ТПУ БЕЛАМИ НОВ Филип и Благоја Соколовски Крушево се седиште на
ул.Благо Целев бр.3 Крушево . Лиценцата е издадена на 28.02.2017 со УП1","БЕЛАМИ","ул.Благо Целев бр.3 Крушево","2017"
"8","УП1 13-120
24.02.2017","кабаре","ДПТУ ПРИМА АЛФА ДООЕЛ Крива Паланка со седиште на ул.Јоаким
Осоговски бр.85 Крива Паланка.Лиценцата е издадена на 07.03.2017 со УП1","ВИП","ул.Јоаким Осоговски бр.85 Крива Паланка","2017"
"9","ФП1 13-126
27.02.2017","Ноќен бар","ДПУФ БРАВО Драго и Миле ДОО Скопје со седиште на ул.Бул.Партизаснки
одреди /к.2 л 7 Скопје .Лиценцата е издадена на 24.04.2017 со ФП1 13-126","БРАВО","ул.Бул.Партизаснки одреди /к.2 л 7 Скопје","2017"
"10","УП1 13-201
30.03.2017","кабаре","ДПТУ ПАБЛИК ПЛЕЈС Куманово со седиште на ул.Иван Милутиновиќ бр.30
Куманово.Лиценцата е издадена на 30.03.2017 со УП1 13-201","ДАРК","ул.Ленинова бр.23 Куманово","2017"
